Unnamed: 0,team,player
0,bayern,sieb
1,bayern,coutinho
2,bayern,will
3,bayern,kouassi
4,bayern,copado
5,bayern,zembrod
6,bayern,sane
7,bayern,ribery
8,bayern,martinello
9,bayern,tolisso
10,bayern,roca
11,bayern,schloesser
12,bayern,coman
13,bayern,meier
14,bayern,nagelsmann
15,bayern,tillman
16,bayern,upamecano
17,bayern,sanches
18,bayern,wriedt
19,bayern,dantas
20,bayern,rodriguez
21,bayern,pavard
22,bayern,alaba
23,bayern,ibrahimovic
24,bayern,dorsch
25,bayern,neuer
26,bayern,oberlin
27,bayern,toppmoeller
28,bayern,singh
29,bayern,vidovic
30,bayern,goretzka
31,bayern,flick
32,bayern,mueller
33,bayern,starke
34,bayern,suele
35,bayern,rudy
36,bayern,mai
37,bayern,gerland
38,bayern,hermann
39,bayern,tapalovic
40,bayern,richards
41,bayern,evina
42,bayern,wintzheimer
43,bayern,hoffmann
44,bayern,broich
45,bayern,shabani
46,bayern,zaiser
47,bayern,moting
48,bayern,scott
49,bayern,vidal
50,bayern,rafinha
51,bayern,sabitzer
52,bayern,wanner
53,bayern,lungwitz
54,bayern,ulreich
55,bayern,jeong
56,bayern,nuebel
57,bayern,arp
58,bayern,klose
59,bayern,hummels
60,bayern,benko
61,bayern,lewandowski
62,bayern,kimmich
63,bayern,kern
64,bayern,feldhahn
65,bayern,heynckes
66,bayern,hernandez
67,bayern,bernat
68,bayern,boateng
69,bayern,goetze
70,bayern,robben
71,bayern,schneller
72,bayern,sarr
73,bayern,davies
74,bayern,booth
75,bayern,mbi
76,bayern,stiller
77,bayern,musiala
78,bayern,wilhelmi
79,bayern,cuisance
80,bayern,kovac
81,bayern,zirkzee
82,bayern,vita
83,bayern,wagner
84,bayern,dajaku
85,bayern,martinez
86,bayern,ontuzans
87,bayern,odriozola
88,bayern,thiago
89,bayern,roehl
90,bayern,glueck
91,bayern,fruechtl
92,bayern,pantovic
93,bayern,stanisic
94,bayern,weinkauf
95,bayern,senkbeil
96,bayern,lawrence
97,bayern,perisic
98,bayern,gnabry
99,augsburg,zellner
100,augsburg,strobl
101,augsburg,finnbogason
102,augsburg,guenther
103,augsburg,hitz
104,augsburg,danso
105,augsburg,roesch
106,augsburg,niederlechner
107,augsburg,civeja
108,augsburg,pedersen
109,augsburg,framberger
110,augsburg,wimmer
111,augsburg,baum
112,augsburg,gruezo
113,augsburg,opare
114,augsburg,caiuby
115,augsburg,schwarzholz
116,augsburg,luthe
117,augsburg,dorsch
118,augsburg,gregoritsch
119,augsburg,klein
120,augsburg,stanic
121,augsburg,cheon
122,augsburg,mueller
123,augsburg,baier
124,augsburg,parker
125,augsburg,moravek
126,augsburg,schmid
127,augsburg,heller
128,augsburg,cordova
129,augsburg,max
130,augsburg,gouweleeuw
131,augsburg,gelios
132,augsburg,baeumler
133,augsburg,weinzierl
134,augsburg,schmidt
135,augsburg,maier
136,augsburg,salifou
137,augsburg,hahn
138,augsburg,sartori
139,augsburg,bekiroglu
140,augsburg,schmidt
141,augsburg,ermgassen
142,augsburg,bazee
